date,floor,garage,image_urls,images,link,m2,off,price,rooms,title
05-11-2018,11ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/49/eb/81/277632912.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/49/eb/81/277632912.jpg', 'path': 'full/87912c03669bee00854420dddf60e86c721150db.jpg', 'checksum': 'bb3cb6064b9edf38799bab583bd3d0a7'}]",https://www.idealista.com/inmueble/40303035/,97,0,560000,3,"Piso en Provençals del Poblenou, Barcelona"
05-11-2018,,1,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/07/ff/d6/219179057.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/07/ff/d6/219179057.jpg', 'path': 'full/20d1a914b5d5ea3bf0b88c97bcec7c3fc9cd1d69.jpg', 'checksum': 'cefd4ee2a950b82873f0b56c14fcf057'}]",https://www.idealista.com/inmueble/35618669/,1.060,0,2990000,24,"Casa o chalet independiente en Sant Gervasi - La Bonanova, Barcelona"
05-11-2018,1ª,1,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/9c/64/51/607929072.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/9c/64/51/607929072.jpg', 'path': 'full/040f788ed340c5728d28a2cb08fdab81446bfa39.jpg', 'checksum': '76e633d0d90f2a2b36b577d03c81c687'}]",https://www.idealista.com/inmueble/82936517/,89,0,465000,1,"Piso en Diagonal Mar i el Front Marítim del Poblenou, Barcelona"
05-11-2018,,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/14/00/30/579466542.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/14/00/30/579466542.jpg', 'path': 'full/623f10490b03eb67f764a8e8b12d8238112c0767.jpg', 'checksum': '37784c24027b406245eac372bf31aeff'}]",https://www.idealista.com/inmueble/81572025/,52,0,219000,1,"Piso en Sant Pere - Santa Caterina i la Ribera, Barcelona"
05-11-2018,3ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/c8/c1/fb/608347435.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/c8/c1/fb/608347435.jpg', 'path': 'full/d804a6489cbdacc98487940015f3e7613742bd49.jpg', 'checksum': '81c12c2d880e2229e50b00539a78c65d'}]",https://www.idealista.com/inmueble/82950493/,65,0,218000,2,"Ático en Arta, Porta, Barcelona"
05-11-2018,1ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/de/20/16/580666052.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/de/20/16/580666052.jpg', 'path': 'full/3d2352d261b2b0fa44445c5daebbdcdf3b18f65c.jpg', 'checksum': '73d7d805eb887e09e5a046378668f2cc'}]",https://www.idealista.com/inmueble/81600354/,61,0,225000,3,"Piso en La Sagrera, Barcelona"
05-11-2018,1ª,1,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/0f/01/de/608355430.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/0f/01/de/608355430.jpg', 'path': 'full/53f6771916e4f5148cb3fb11997e331439c25a3e.jpg', 'checksum': '04b7457e9ba11eedd8b86aae3380dc43'}]",https://www.idealista.com/inmueble/38788988/,190,0,700000,5,"Piso en ronda del general mitre, Sant Gervasi - La Bonanova, Barcelona"
05-11-2018,1ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/50/b2/fd/603733963.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/50/b2/fd/603733963.jpg', 'path': 'full/793337f04132de9c8fa0586280a8517b5ce862c4.jpg', 'checksum': 'f55cbbe969ce52084f39d92167850be3'}]",https://www.idealista.com/inmueble/82737395/,220,0,1325000,4,"Piso en La Dreta de l'Eixample, Barcelona"
05-11-2018,1ª,1,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/e0/ea/8b/607678432.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/e0/ea/8b/607678432.jpg', 'path': 'full/182eb6ff3d078f1864ef75d2533d1ee39f91ed78.jpg', 'checksum': '9a652f8c460d17e0ffb2e77d877ac783'}]",https://www.idealista.com/inmueble/40003197/,230,0,995000,5,"Piso en avenida diagonal, 626, Sant Gervasi - Galvany, Barcelona"
05-11-2018,2ª,1,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/ed/3f/db/608355935.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/ed/3f/db/608355935.jpg', 'path': 'full/6f26313dacad15d69c2b9da714f63170b947dd4b.jpg', 'checksum': '7e28f3733883606cac331642a6e15753'}]",https://www.idealista.com/inmueble/81485943/,74,0,500000,1,"Piso en paseo del Taulat, Diagonal Mar i el Front Marítim del Poblenou, Barcelona"
